fulltext,label
.شعور جاری..بنام پدر، بنام مادرکه به‌ما فرصت بودن دادندبنام زمین، بنام جهانشاهد عادل مهربان..:.. ستاره‌های سرخ:.. شکوفه‌های سیباز اینجا تا خورشیدچه قصه‌ها داریم.بی‌اتاق… ,0
 عجب مدركي كار مجاهدين تموم شد با اين مدرك گاگول هيچ چيزي تو اين مدرك نيست. گويا سواد هم زياد نداري. خدا رو شكر دشمنان مردم احمق هستند. داستان سرايي هم براي خودت بگذار. مجاهدين ١٥ سال در دادگاه هاي مختلف جنگيدند تا كاري كه ملاها ي با قرارداده,1
یکی از صادرات غیر نفتی آخوندا صدور دلقک هست.همین دلقکباساپورت مالی و درست کردن اکانتهای سایبری حامی و .....تبدیل میشه به اپوزیسیون#براندازم #دیکتاتور #سرنگونی #مجاهدين #مريم_رجوى#چهل_سال ,1
قسمت عجیب ماجرااینه که مامان رو به زور فرستادیم چکاپ و معلوم شد مامان هم مثل بابا همون سرطان رو گرفته. دو تاعاشق دو تا همدل تا آخرخط باهم. هر دو رفتن برای وقت شیمی درمانی. من اینجا فقط بال بال میزنم تاریخ بلیط عوض کنم. نصف کره ی زمین رو رفتن واسه ده روز بابچه ی شیری تنهاراه حله,0
 بهترین و اموزنده ترین توییت لازم دونستم به خاطر این توییت با افتخار فالوو کنم,0
با توجه به ضعف دستگاه محاسباتی آمریکا نباید به وعده و قول و امضای آنها امیدوار بودبه دیواری که داره فرو میریزه تکیه نباید کرد مگر اینکه احمق باشی #امید_به_احمقها#امید_به_دلقکها,1
 من بیشتر از دو ساله ازشون خرید نمیکنم و به هرکسی هم خرید می‌کنه پیشنهاد کردم نکنه به خاطر تجربه بیشعوری‌ای که دو سال پیش داشتم باهاشون.,1
 این عربای ملخ خور چه آدم شدنخب معلومه ایران توئیت ندارن مردم که حمله کردن پرچم سبز گذاشتن اینجارو پر کردن عرضه دارن اینستگرام بزارن این نظرسنجیه احمقانه شونو,1
 دقیقا همین بود دیگه به بهترین شکل ترجمه کردی,0
من اگه یکیو خیلی دوست داشته باشم و عاشقش باشم حتمااااا حتما ازش خواستگاری میکنم و هر کاری میکنم که باهاش باشم، نمیدونم شما چرا اونی که عاشقشید ولش میکنید ...,0
 زندگی با یک شخص احمق آسان تر از زندگی با کسی است که به شما دروغ می گوید و شما چشم های خود را می بینید,1
 فکر هزار بدبختی‌ای که دارمحال نامعلوم،آینده نامعلوم،کار هایی که به خودم قولشو دادم و امکانش نیست دیگه!بازم بگم؟؟؟,1
 چرا تا حالا نگفتی اگه راست میکی عوضی !!؟؟,1
دوست عزیز کفش مشکی رو با جوراب سفید نپوش، شما مایکل جکسون نیستی که بهت بیاد...,0
"زندگی خیلی لذت بخش و زیباست مخصوصا آنجایش که""برتراند راسل""",0
 حالا الان یعنی پزشکان سهمیه ای،خارج تحصیل کرده و پردیس باسوادند؟یا الان بحث بحث به خطر افتادن بازار کار پزشکا هست نه سلامت مردم؟اگه اعتراض به بی سوادیه که خب اون موردایی که گفتم ارجح تر هستن واسه اعتراض,1
 احمق تویی با اون رهبرتما به هیچ احدی تقدس نمیدیم که بخواهیم واسه آمریکا یا اسرائیل دم تکون بدیم عرزشی پشگل مغز:)))مگه ما مثل شما ۷ سنتی‌ها هستیم که اینجا دنبال کاسبی باشیم:)))برو دم واسه رهبرت تکون بده یه۵ سنتی بندازه جلوت:)))خزعبلاتت هم که رهبرت زیاد میگه مثل:آتیش، افول،...,1
 : ممکنه الان تمرکز رو بذاره روی تیم ولی بعد از پایان بازی ها چه با جام چه بی جام جوابش رو میده،اونجاست که میثاقی کودن میگه کیروش…,1
 کمدی بود بنظرم، از بس احمقانه و غیرقابل باور بود,1
 کار که هست عزیز جان اگر بخواهی قدم مفید برداری پیشنهاد میکنم که به پیج بنده بری و نظرم رو که پین شده به پیج بخوانی البته تا آخر با تمام پاورقی ها و اگر نظرت رو گرفت منتشر کنی که هم سعادت این دنیاست و هم آخرت؛)),0
 اصن همینو بگو.پیاز که چیزی نیست، عشقی که توش کله‌پاچه معیار نباشه عشق نیست!,0
 بهترینها سهم دل مهربونت لعنت به بی عدالتی ...,0
 : شاپور بختیار:《از زمان سلاطین ساسانی تا کنون، هر بدبختی که در ایران رخ داده و هر شکستی که بوده، بدانید که آخوندهای اون زمان…,1
 باباگرونه خیلیی اما بگید شاید فرجی شد،زیباتراز ژاپن نداریم,0
 امیدوارم هیچوقتم تجربه نکنی فکر من خونه بودم اومد گفت سرنیزه ات رو یه چند ساعت بده میخوام منم از خواب پا شده بودم همینطوری گیج بودم دادم بهش رفت بعد از ۲ ۳ دقیقه حواسم اومد سر جاش گفتم احمق چرا بهش دادی!؟ دوییدم توی کوچه ها دنبالش پیداش کنم,1
 من مونتانا قرمز با نیکوتین۰۹/ و قطران۱۳/ به علاوه آشغالای توش که میکشم فکر میکردم دیگه آخرشه؛ ولی خدایی ۲۴ خیلی میشه زیر دِلِم درد میگیره نه اصلا اینجور نمیتونم,1
آبجی‌ای که تو بی‌پولی بگه غصه نخور، چقدر می‌خوای گلی از گل‌های بهشته,0
مدیر شبکه ای که تلفن ناشناس رو هم جواب می ده گلی از گل های بهشت و فرهیخته واقعیه هرچند مطلبش رو برای فردا نرسونه,0
 میدونی که من عاشق کونم... همه کار براش میکنم,0
ازدواج توییتری چ اشکالی داره خیلیم عالی..ایشالا خوشبخت شن و بپای هم پیر شن,0
 : #به_امید_احمقها#به_امید_دلقکهااین مرد 31 ساله اهل حیدرآباد هند بیش از 3 ساله که دونالد ترامپ رو به عنوان یه خدا پرستش…,1
بهترین موقع سال به نظر من اون ۱۰ روز آخر اسفنده. هوای اون ۱۰ روز با کل سال فرق میکنه. به اون ۱۰ روز باید داد.,0
اینکه از کیروش متنفر باشی، دلیل نمیشه از باخت تیم ملیت خوشحال باشی، احمق تیم ملی توعه، نه کیروشِ احمق تر از تو,1
تو دیگه چقدر رو داری آقا ملت ایران شما آشغالها را نمی خواهند هم خودتان را هم تمامی احکام و قوانین ضد انسانی که راه انداختید لطقا برید گم شید البته بزودی خودمان زحمت شما را از این دنیای پاک که شما ها کثیقش کردید انجام می دیم و به زباله دانی با معذرت از زباله دانی می اندازیم ,1
 درود عزیزم حتی اندیشه های متضاد گاهی از هم تاثیر میگیرند ته این نگاه یه جایی به تفکرات آرماگدونی پیوند میخورد خراب کردن کلی و ساختن از نو ریشه های آخر الزمانی دارد,0
ازینکه تیم ملی فوتبال جمهوری اسلامی ضد ایرانی نرفت فینال خیلی خوشحالم. دست دلالها و مافیای کیروش از پول مفت این مردم بدبخت کوتاه شد. کاش دیگه تیم فوتبال نداشته باشیم,1
معمار قانون‌گذاری #رمزارز ایران بی‌شک هست.دوست عزیزم این روزا قراره خیلی بدوبیراه بشنوی. من باورت دارم و کار بزرگت رو ستایش می‌کنم.,0
 دوست عزیز اینکه چند بار رفته باشین و با آدمهای خوبی برخورد نکرده باشین دلیل بر بد بودن مردم منطقه نیست.این منطقه 30 هزار جمعیت داره.دردناکی توییت شما برام به خاطر اینکه خودم اهل این منطقه هستم نیست اگه مینوشتید فلان منطقه کردستان،زابل یا اهواز مردم خوبی نداره باز هم دردناک بود.,0
بدبخت،بیچاره آخه فوتبال واست نون میشه آب میشه؟ :))[وی دیشب از درد کمر خود نخوابیده و خیلی اذیت شده است],1
 یکی بگه بیشعور برو رساله حقوق امام سجاد علیه السلام رو مطالعه کن,1
آره عزیزم من موجود پرتوقعی ام،توام به تنها چیزی که نیاز داری یه روانشناسه که چالش درست و حسابی دوست داشته باشه.,0
 این رشته توییت زیبا هم تقدیم به شما که خواندش خالی از لطف نیست ,0
تا کی روم از عشق تو شوریده به هر سویتا کی دوم از شور تو دیوانه به هر کویسعدی #_ ,0
 جورابم آماده استچقدر سیم وصل کردن به مریضای بدبخت ، این دوشاخه رو بزنم به برق مریض زودتر خوب بشه؟,1
 دوست عزیز بیشتر داروهایی که توی پزشکی به کار میره منشأ گیاهی(یا طبیعی) داره، از آسپیرین گرفته تا داروهای ضد درد، ضد تب، ضد سرطان،فرقش اینه که دوزش دقیق تنظیم شده، مواد مضرش حذف شده، فرم جذب‌ش بهینه شده، صدها آزمایش و دهه‌ها تجربه‌ی مصرف همه چیز رو بهینه کرده.,0
 اینکه بگی مضحک و کثیف و احمقانه توهین نیست ولی به خودت بگن کس میگی توهینه,1
حالا ما تو گروهمون اول بشیم به کدوم بدبختی میخوریم ؟!,1
 من این جور وقتا میگم لابد قاطی آشغالا رفته,1
بدبختی کم داشتیم! اینم اضافه شد بهشونحسرت شد ۴۷ ساله :/,1
 برادر بزرگوار اگر بتوان میزان خلافی راهنمایی و رانندگی هر کد ملی را (اعم از موتور و خودرو و ..) را به پوشه ایرانیان ارسال کرد به نظر گام بزرگی برای توسعه استفاده از این کارپوشه و کاربردی‌تر شدن آن خواهد بود.دعای خیر ماهمیشه شامل شما عزیزان دلسوز کشور هست.,0
 چون درهرصورت پول تو جیب دکتر میرهولی بدبخت نسخه پیچ مواخذه میشه,1
 و صد افسوس که ما و نسلهای بعد روبدبخت و اواره کردند.. ننگ بر خائنین...#جاویدشاه,1
 من واقعا ازدرک ایناعاجزم.اصلانمیفهمشون.میدونستن مردم ایران چه ساده واحمقانه باورمیکنن.,1
چقدر زمان برای فراموشی و بخشش لازمه ؟لبریز خشم و نفرتم و نمی تونم این حال بد رو بالا بیارم و سبک شم ...,0
آنان که ادعای عشق داشتند راه ها بستند به بهانه اینکه تو را اینگونه میخواهیمدیگر از دشمنان نگویم,0
حالا با همه این تفاسیر، قفلی امروز مغز عزیز ما چیه؟«سی یا وش! نیستی چرا هَـ مش؟ چرا پیدا کردن تو انقد سَخ شده؟سی یا وش، از صُب تا ساعتِ هش، سر کاره باز میگه کار داره و بدبخ شده» ,0
 مجموعه شعر سایه به همین اسم هست عالیه واقعا,0
یه کسمغزی پاشده رفته دوست پسر منو امتحان کنه به من اسکرین بده که کات کنیم دوست پسرمم ریده بهش.زیبا نیست؟,0
نمیدونم چرا وقتی از یکی حالم بهم میخوره میگم عاشقشم,0
دوست خوب مثل یک فنجون قهوه داغ تو هوای سرد میمونه که دلتو گرم می کنه. به افتخار همه دوستای خوب از جمله بهترین دوست من (),0
 : بدبختی اینجاست همیشه دلتنگ کسی میشیم که بود و نبودت براش اهمیتی نداره,1
 تا تناقضات منطقی اعتقاداتشون رفع نشه اوضاع همینهو بدبختانه کار خیلی بزرگی میخواد,1
از دیدگاه خودتون #توییتر#تلگرام#اینستاگرامرو باهم مقایسه کنید یا با مثال کسایی که توشون فعالیت دارن بگید چطور صفاتی دارن,0
 این اول بودن به درد هیچی نمیخوره قبل از اونم بودیم زمان برانکو ما ۱۴ جهان بودیم الان۳۲زیبا نیست؟هر سال قبل از جام جهانی خودش و دارودستش میان ایران رو ضعیف نشون میدناون از ۲۰۱۴ که میگفتن با آرژانتین هنو بازی شروع نشده گل میخوریم که اینجوری نشداسپانیا و پرتقال هم همین کارو کرد,0
"#بهمنگان_فرخبهمنگان، بزم ستایش و گرامیداشت اندیشه نیک بر همه ایرانیان فرخنده باد. در ستایش بهمن امشاسپند آمده است:""ستایم و خوانم دادار هرمزد (مزدا) رایومند و فرهمند و اَمشاسپندان را،سپاس دارم از دادار مینوی افزونی،خدای مهربان کرفه گر،نیکی ده،خداوند نیکی ده رهنمای،",0
 آخه انقدر خرید که نمیفهمید ایران بعد از 8سال جنگ نابرابر تو بدترین شرایط که کل دنیا هم بر علیش بود دست آخر پیروز میدان شد اونوقت ی اسرائیل پیزوری میتونه بزنتش؟تو مغز شما چیه؟ریدن تو کلتون؟احمق ی2دوتا کن بعد حرف بزن ضایع نکنی خودتو,1
 هیچ احمقی این کار را نمی کند و اینها هم نکرده اند.,1
 چت خانوادگیه یا منم بگم که کتاب قبول می‌کنم؟,0
 : به خودت میای میبینی دیگه هیچی برات جذابیت نداره، برای عاشق شدن دیر شده و برای هیچکی جذاب نیستی، هیچ نگاهی جذبت نمیشه، انگا…,0
اگه بجای این تعداد زائر، توالت داشتند اینقدر بدبخت نبودند ,1
 اون احمقهایی که زدن خیر به چی فکر کردن زدن خیر؟به گرانیژن خوبسایبریاختلاسسید علیلبه چی؟من زدم بلهمیدونی چرا؟چون این نظام هربدی که داشتیه لطف بزرگ به ایندگان ما کردریشه مذهب و خرافات را خشک کردالان دیگه خرمقدس تو قشر ۸۰ و ۹۰ پیدا نمیکنی خیلی کمبله نظام کثافته ولی خوب,1
 بله در آدرس زیر متن کامل این بخش از کتاب به فارسی ترجمه شده است:,0
 عزیزم من میام بهت سر میزنم بهره ببری اصن ناراحت نباش:))))),0
بعد‌ازقریب‌به دو هزار سال عارف داره میاد سسکتون، استاد گرانقدر.هنوز نصف سالن هم پر نشده از هموطنان ایرانی بس‌که این ملت عاشق داغونهایی مثل ساسی مانکن هستند. اونوقت همکار افغان من کلی استقبال کرده و میخواهد با اهل خانواده و دوستانش بیاد #عارف #سسکتون #کنسرت #_,0
امروز رفتم یه اتود خریدماومدم خونه ، هم یکی از اتودام که گم شده بود پیدا شد و‌ هم‌اونی که خراب شده بود ، سالم شد -.-زیبا نیست؟!,0
 : “” هم چیز جالبیه.اگه تو زندگی آدم باشه، تقریبن همه چیز زیبا میشه و اگه نباشه چیزی به جز سیاهی نمیمونه.این “” یا…,0
 ارا‌دتمند امین عزیز ،خیلی دلتنگتم بخدا چند وقت پیش شدیدا بیادت بودم,0
در دوران کودکی فکر میکردم شمالی ها و مشهدی ها نسبت به ما تهرانی ها انسان های کاملا متفاوتی هستند ،غذاهایی که ما میخوریم رو نمیخورن و از ما توریست هایی که میریم شهرشون متنفرن.الان فهمیدم که فقط دو مورد اول اشتباه بوده,1
 دیو استبداد ضربه خورده تحلیل رفته ولی محتضر نیس از درون پوسیده اما پا برجاس فریب تحلیل های مشتی بی سواد و روشنفکر نما وخوش صحبت وراجو نخورید,1
می‌خوایم اول اردیبهشت با آرش بریم اصفهان.امیدوارم تا اون‌موقع زاینده‌رود همچنان آبش بیاد. ,0
 اگه منظورت رابطه جنسیه اونو بیا خودم ترستو میریزونم ولی اگه کلا رابطه دوستی منظورته اونو دیگه من نمیدونم,0
 ببین من یا هیچی نمیبرم یا همه زندگیمو میبرم!کیفام خودشون سه تا کارتون ان! کفشا یه کارتون!کتابا ؟؟؟؟ میشه همه رو نبرم کلا یه کارتون ببرم!یه چمدون لوازم آرایشی و جینگیل بینیگیل!لباس هم ۵ تا چمدون تقریبا! ببین کار یه شب نیست!,0
قیمت مصوب #کاغذ رول که با #ارز ۴۲۰۰وارد شده برای فروش به #مطبوعات حدود کیلویی ۵۲۰۰ تومان و قیمت بازار آزاد کاغذ میانگین حدود ۷۲۰۰ تومان.دوستان مدیر مسئول عزیزم که مدام زنگ میزنید می خواهید کاغذبفروشید آن هم با قیمت آزاد،واقعا چه خبرتونه؟؟,0
یه وقتایی مرز خوشبختی و بدبختی باریک تر از یه تار مو میشه,1
من نمی دونم چه‌حسابی هست همه‌ فعالارو میگیرن، می خواد فعال‌مدنی باشه، فعال کارگری باشه یا فعال‌محیط زیست بعد میگن چرا صبحا از تختت بلند نمیشی‌ بری پی یه کاری‌،فعالیتی چیزی‌. خوب‌من پاشم برم پی یه فعالیتی بعد بگیرنم بعنوان فعال‌ِ فلان شما جواب میدین؟ خب بزارید بخوابیم دیگه‌ راحت,0
رهبر معظم انقلاب: بعضی سران آمریکا وانمود میکنند دیوانه اند، من این را قبول ندارم اما احمقهای درجه یکی هستند.(۱۹دی ۱۳۹۷،دیدار با مردم قم)#امید_به_دلقکها#امید_به_احمقها ,1
 به کیرمم نیست حالت از چی به هم می‌خوره. مهم اینه احمقی و احمقا می‌تونن باعث سرگرمی بشن.,1
 جوانان اصلاح طلب عین سگ های درگاهن که به استخون انداختن جلوشون و راضی و خیر کیف از صبح تا شب عوعو میکنن و شکرگزارن.از یه عده نوچه بی هویت بدبخت چه انتظاری داری؟,1
 چون رده بندی احمقانس. بارها بازیکنا و مربیایی که تو نیمه نهایی باختن گفتن که هیچ انگیزه ای واسه بازی کردن ندارن. تو جام جهانی هم صرفا به دلیل جق پخش و درآمد بیشتر هنوز نگه داشتن. هیچ جام معتبری رده بندی نداره. نه قهرمانان اروپا نه جام ملتهای اروپا نه جام های حدفی کشورها,1
وای چقد خندیدمما بریم حقوق بشر از عربستان صهیونیست ،جنایتکار یاد بگیریمآهای احمق تاریخ،فرهنگ و تمدن ما رو بررسی کن .بعد حرف بزن#امید_به_دلقکها #امید_به_احمقها,1
 : آدمای عوضی همه جا هستن! هامبورگ رفتم فروشگاه، خط کش میفروشن برای بچه های مدرسه با اسمای مختلف، واسه همه گل و خونست، وا…,1
هرچی به ولنتاین نزدیک میشیم دخترا نسبت به پیشنهادت دوستی نرمتر برخورد میکنن,0
 : بنده در گرما برای شما عزیزان هموطن آرزوی هوایی دلپذیر دارم ,0
یه وقتایی زندگی یهو سخت میشه مثه همین الان من ولی تفاوت الان با قبل اینه که دیگه سختیا و مشکلات خیلی ناراحتم نمیکنه در واقع کمکم میکنه که بهتر شم و من قسمتای سخت زندگی رو خیلی دوس دارم چون همیشه تو شرایط سخت بهترین اتفاقارو برا خودم رقم زدم و بیشتر از همیشه از خودم راضی بودم,0
من عاشق تیم ملی #ایرانم نه تیم ملی کی روش،به امید برد تیم ملی،زنده باد #ایران زنده باد #ایرانی ,0
اوندفه اماده و مهیا نشستم فیلم ببینم کلی بالا پایین کردم لامور گاسپار نوئه رو شروع کردم بیس دقه هم نشد حالم بهم خورد مرتیکه‌ی صنعتی ساز این چه آشغالی بود به اسم فیلم میخواست قالب کنه بهمون,1
این بدبخت نه که تا حالا از وسیله حمل و نقل عمومی استفاده نکرده نمیدونه یجورایی داره مورد آزارجنسی قرار میگیره. خوشش اومده داره میخنده! ,1
 : بدبخت بچه ی گوگوش تا حالا به ده، دوازده نفر گفته بابا.,1
 فرض کنیم که این کتاب توسط ثریا بها نوشته شده اما نمی‌شود انکار کرد که برادر نجیب نزد آمر صاحب پناه برد و از آن طریق توانست راهی آمریکا شود. خود نجیب هم می‌توانست از چنگ طالبان خود را برهاند و به دامن مسعود پناه ببرد اما اندیشه های قومگرایانه اش اجازه نداد چنین کاری بکند. ,0
بعد چن سال که گند میمون فرستادنتون به فضا دراومد که اصن برگشتی تو کارش نبوده!حالاام وقتی اکثر مردم تو بدبختی دارن دست و پا میزنن #ماهواره_پیام رو که بازم یه مسخره بازی دیگس و هیچ سودی نداره رو کردن!,1
 سلام به روی ماهت نازنیمخوبی بهتری عزیزدلم؟؟آخر هفته ات پر از عشق,0
اهمیت دادن بیش از حد به افکار دیگرانکودنی همه گیر است#شوپنهاور ,1
 شما همین که درساتونو خوب بخونید خودش بهترین کادوئه,0
" با قرار گرفتن در حلقه‌ی وحدت و برقرار شدن اتصال، فيض رحمت او جاري می‌شود که عرفا اين اتصال را به نوشيدن مي تشبيه کرده‌اند؛ مي ازُ خم معرفت او که علم و آگاهي و عشق را بر جان انسان می‌ریزد"".محمدعلی طاهری#_ ",0
 وقتی همه کشورها رو با دیپلماسی احمقانه هسته ای و دژمن دوستی میفرستیم پشت رقبا یا دشمنان دستاویزی نمیمونه برای کسانی که نزد مردم خودشون هم محبوب نیستند,0
اگه یه ایرانی تو تلویزیون ما اعلام میکرد که تو افغانستان بعضی زن ها حتی اجازه ی بیرون اومدن از خونه رو ندارن باز مردم ما برای نشون دادن اوپن مایندیشون از افغان ها معذرت خواهی میکردن و حالا که قضیه برعکسه بازم احساس تاسف میکنن تا این حد بدبخت,1
 منکه با این کامنت عاشق موز شدم :)))ولی بنظرم شوخیه فقط,0
 واللاح.تایم‌لاین ما که پره.در انتخاب فالوئر و فالوئینگ دقت کنید تا تمام فالوئرهاتون مثل خودتون بدبخت بیچاره باشند و همه فالوئینگهاتون فقیر و بی‌خواب.,1
 : یکم به خونواده میدادم اوضاعشون رو سرو سامون بدن با بقیه اش هم دست یه دوست بدبخت تر از خودمو میگرفتم و از این کشور میرفتیم. …,1
من فکر می کنم عشق به تعبیری، مکیدن لیمو با لثه های زخمی است، یک جور حظّ مازوخیستی. از طرفی، امروز، یارو که توی مترو به تاریکی گذرندهٔ تونل نگاه می کرد، به زیدش که توی جاناموسی کنار در ایستاده بود گفت «عشق ساقه طلاییه، برای تشنگی.»,0
 عاشق ک باشی ساعت بی معنی است؟؟ یا عشقش براش ساعت نمی خرید ؟؟,0
 من ازش پرسیدم، بلد نیست ولی برای نشون دادن دوستی لایک کرده. حالا تو هم برو سوالاتتو از خودش بپرس، من وکیل وصیش نیستم.,0
دلم از بیمِ فراقِ تو به خود می‌لرزدهمچو آن قطره که از گل نچکیده‌ست هنوز...#عالی_شیرازی,0
و من ادميم كه هميشه از خودم ناراضي و متنفر بودم!خيلي از ماها همينيم فقط كافيه توي شرايطي قراربگيرين كه متوجهش بشين!,1
رهبر انقلاب: برخی دولتمردان آمریکا وانمود می کنند دیوانه اند ، بنده این را قبول ندارم اما حقیقتا احمق های درجه یک هستند.ینی فقط بایدحرف اقارو باطلانوشت زد رو سردرکاخ ترامپ ودراینده نزدیک برسردرگورستان ترامپ #کانون_انقلاب #قیام_قم,1
می‌گوید امیدها و آرزوهایتان را برای وزیر خارجه آمریکا بنویسید. تمرینمان می‌دهند به نگاه ملتمسانه و عاجزانه.وزارت خارجه آمریکا آنقدر با اپوزیسیون کودن و مفلس و بودجه بگیر روبرو بوده، خیال می‌کند همه مردم ایران همینقدر حقیر و مفلوکند. ,1
:از بس پیام تور های سفر به اروپا و کشور های مختلف واسم اومده و من هم جوابی بهشون ندادمامروز یکیشون پیام داده میگهشاهچراغ چی .... شاهچراغ هم نمیای بدبخت ؟,1
قرار بر این شد که از ماه بهمن، برنده خوش‌شانس قرعه‌کشی 206 این اکانت رو معرفی کنیم. کاری که مدتهاست انجام میدیم و شاید چند نفر دیگه رو هم از ماههای پیشین معرفی کنیم.هشتمین برنده ماهانه، امروز خودروشون رو تحویل گرفتن.توئیت زیر و تشکر این دختر زیبا از فضای امن و جذاب دایرکت شعبون ,0
ملتهاى برادر عرب، و برادران لبنان و فلسطین بدانند که هر چه بدبختى دارنداز اسرائیل و آمریکاست.#,1
 : همه میشینن رو به یک ویو خوب و دلباز سیگار میکشنکنارشم چای یا قهوهمنِ بدبخت باید برم توی دسشویی⁦:-(⁩,1
ما #دهه_شصتی ها تازه به سن #کتاب نوشتن رسیدیم که #کاغذ گران شد.یک کتاب در دست تألیف دارم، دومی در نوبت است و یک ترجمه هم پیش می بریم. به ما که رسید... ,0
 : یابویی که هشتک انحرافی میزنی و فک میکنی کار درستی کردی گوش بده ببین لیدر میگه چیو پروموت کن احمق این هشتکها از یک اتاق…,1
#جناب استاد واقعاعقل نداری یاخودت به بی عقلی میزنی کشوری که تونسته توهمون مواردی که شما میگی جزرده های بالاقراربگیره بعدگیردوچرخه سازی میمونه؟!امثال طیف واداده وبدبختگراوغش کرده شما هستن که توساخت ماشین،موبایل ویه اقتصادپویا موندیم قشنگ مافیاهمه جاهستین#مدافعان_خليج_فارس,1
أَيَطْمَعُ كُلُّ امْرِىٍ مِّنهُمْ أَن يُدْخَلَ جَنَّةَ نَعِيمٍ(معارج 38)آیا هر یک از ایشان(یعنی کافران یا منافقان) امیدوارند که به بهشت پر نعمت وارد شوند (چرا که خویشتن را در پیشگاه خدا بالاتر و گرامی ‌تر از مؤمنان می ‌دانند؟).,0
یه نفر بیاد به من بگه چجوری نامزد بهترین فیلم شده؟؟؟؟؟,0
تا حالا دیدی پسری بگه وااای عزیزم تو محسن ابراهیم زاده گوش میدی بیا باهم رل بزنیم؟منم ندیدم، پس کاور آلبوم محسن ابراهیم زاده رو استوری نکن,0
چه داستان هایی واسه یه الف بچه در آوردن متجاوز ، پرده زن و ... بیخیال بابا، اینا رو نهایتا خود پسره واسه لات بازی گفته باشه  همینجوری تو دایرکت از یه سیرجانی میپرسید شایعات رو فکت میکنید ؟! ,1
تکرار تاریخ! این گل رو ۲۵ سال پیش از ژاپن خورده بودیم! اینجاس که نقش غریزه و ژن مشخص میشه! حالا هی #کیروش بدبخت و سیبل کنید! #بی_انصاف نباشیم! #تیم_ملی ,1
 : من جان بر کف سر سپرده مسیح دورانم همیشه با خود میگفتم کاش در زمان عیسی مسیح بودم و جانم رو فدایشان میکردم و چه زیباست…,0
به جز کتاب سانتاگ راجع به بیماری، نویسنده دیگه‌ای می‌شناسید که راجع به بیماری نوشته باشه. یعنی دغدغه‌ش، بیماری و مواجهه با بیماری باشه؟,0
